#,Name,Birthdate,Category
255,Hilary Swank,"July 30, 1974",Actress
256,Amy Adams,"August 20, 1974",Actress
257,Jimmy Fallon,"September 19, 1974",TV Host
258,Joaquin Phoenix,"October 28, 1974",Actor
259,Leonardo DiCaprio,"November 11, 1974",Actor
260,Ryan Seacrest,"December 24, 1974",TV Host
261,Drew Barrymore,"February 22, 1975",Actress/TV Host
262,Will.i.am,"March 15, 1975",Musician
263,Fergie,"March 27, 1975",Musician
265,David Beckham,"May 2, 1975",Athlete
266,Lauryn Hill,"May 26, 1975",Musician
268,Angelina Jolie,"June 4, 1975",Actress
270,50 Cent,"July 6, 1975",Musician
271,Charlize Theron,"August 7, 1975",Actress
272,Kate Winslet,"October 5, 1975",Actress
273,DJ Khaled,"November 26, 1975",Musician
274,Sia,"December 18, 1975",Musician
275,Tiger Woods,"December 30, 1975",Athlete
277,Reese Witherspoon,"March 22, 1976",Actress
281,Benedict Cumberbatch,"July 19, 1976",Actor
283,Ryan Reynolds,"October 23, 1976",Actor
284,Jack Dorsey,"November 19, 1976",Business
287,Shakira,"February 2, 1977",Musician
288,Floyd Mayweather,"February 24, 1977",Athlete
289,Chris Martin,"March 2, 1977",Musician
291,John Cena,"April 23, 1977",Actor
292,John Oliver,"April 23, 1977",TV Host/Comedian
293,Kanye West,"June 8, 1977",Musician
294,Tom Brady,"August 3, 1977",Athlete
295,Tom Hardy,"September 15, 1977",Actor
296,John Mayer,"October 16, 1977",Musician
297,Emmanuel Macron,"December 21, 1977",Politician
298,Volodymyr Zelenskyy,"January 25, 1978",Politician
299,James Corden,"August 22, 1978",TV Host
300,Usher,"October 14, 1978",Musician
301,Rachel McAdams,"November 17, 1978",Actress
302,Manny Pacquiao,"December 17, 1978",Athlete
303,John Legend,"December 28, 1978",Musician
304,Jordan Peele,"February 21, 1979",Director
306,Adam Levine,"March 18, 1979",Musician
307,Norah Jones,"March 30, 1979",Musician
308,Kourtney Kardashian,"April 18, 1979",Reality TV
309,Kate Hudson,"April 19, 1979",Actress
310,Chris Pratt,"June 21, 1979",Actor
311,Mindy Kaling,"June 24, 1979",Actress
312,Kevin Hart,"July 6, 1979",Actor/Comedian
313,Jason Momoa,"August 1, 1979",Actor
314,Aaron Paul,"August 27, 1979",Actor
315,Pink,"September 8, 1979",Musician
317,Rebel Wilson,"March 2, 1980",Actress/Comedian
318,Channing Tatum,"April 26, 1980",Actor
319,Venus Williams,"June 17, 1980",Athlete
320,Kristen Bell,"July 18, 1980",Actress
321,Gisele Bündchen,"July 20, 1980",Model
322,Jacinda Ardern,"July 26, 1980",Politician
323,Yao Ming,"September 12, 1980",Athlete
324,Kim Kardashian,"October 21, 1980",Reality TV
325,Ryan Gosling,"November 12, 1980",Actor
326,Christina Aguilera,"December 18, 1980",Musician
327,Jake Gyllenhaal,"December 19, 1980",Actor
329,Alicia Keys,"January 25, 1981",Musician
330,Justin Timberlake,"January 31, 1981",Musician
332,Paris Hilton,"February 17, 1981",Reality TV
333,Jessica Alba,"April 28, 1981",Actress
334,Rami Malek,"May 12, 1981",Actor
335,Amy Schumer,"June 1, 1981",Comedian
336,Natalie Portman,"June 9, 1981",Actress
337,Adriana Lima,"June 12, 1981",Model
338,Chris Evans,"June 13, 1981",Actor
339,Meghan Markle,"August 4, 1981",Royalty
340,Roger Federer,"August 8, 1981",Athlete
341,Beyoncé,"September 4, 1981",Musician
342,Nicole Richie,"September 21, 1981",Reality TV
343,Serena Williams,"September 26, 1981",Athlete
345,Britney Spears,"December 2, 1981",Musician
347,Kate Middleton,"January 9, 1982",Royalty
348,Dwyane Wade,"January 17, 1982",Athlete
349,Seth Rogen,"April 15, 1982",Actor/Comedian
350,Kelly Clarkson,"April 24, 1982",Musician
351,Prince William,"June 21, 1982",Royalty
353,Lil Wayne,"September 27, 1982",Musician
354,Anne Hathaway,"November 12, 1982",Actress
355,Nicki Minaj,"December 8, 1982",Musician
358,Carrie Underwood,"March 10, 1983",Musician
359,Henry Cavill,"May 5, 1983",Actor
361,Chris Hemsworth,"August 11, 1983",Actor
362,Mila Kunis,"August 14, 1983",Actress
365,Adam Driver,"November 19, 1983",Actor
367,Jonah Hill,"December 20, 1983",Actor
368,Trevor Noah,"February 20, 1984",TV Host/Comedian
369,Mark Zuckerberg,"May 14, 1984",Business
370,Aubrey Plaza,"June 26, 1984",Actress
371,Khloé Kardashian,"June 27, 1984",Reality TV
372,Prince Harry,"September 15, 1984",Royalty
373,Avril Lavigne,"September 27, 1984",Musician
374,Katy Perry,"October 25, 1984",Musician
375,Scarlett Johansson,"November 22, 1984",Actress
376,LeBron James,"December 30, 1984",Athlete
377,Lewis Hamilton,"January 7, 1985",Athlete
378,J. Cole,"January 28, 1985",Musician
379,Cristiano Ronaldo,"February 5, 1985",Athlete
380,Sam Altman,"April 22, 1985",Business
381,Gal Gadot,"April 30, 1985",Actress
382,Lana Del Rey,"June 21, 1985",Musician
383,Michael Phelps,"June 30, 1985",Athlete
385,Bruno Mars,"October 8, 1985",Musician
386,Chrissy Teigen,"November 30, 1985",Model
389,Lady Gaga,"March 28, 1986",Musician
390,Robert Pattinson,"May 13, 1986",Actor
391,Rafael Nadal,"June 3, 1986",Athlete
392,Solange,"June 24, 1986",Musician
393,Usain Bolt,"August 21, 1986",Athlete
394,Florence Welch,"August 28, 1986",Musician
395,Emilia Clarke,"October 23, 1986",Actress
396,Drake,"October 24, 1986",Musician
398,Ronda Rousey,"February 1, 1987",Athlete
399,Michael B. Jordan,"February 9, 1987",Actor
401,Kesha,"March 1, 1987",Musician
402,Maria Sharapova,"April 19, 1987",Athlete
403,Novak Djokovic,"May 22, 1987",Athlete
404,Kendrick Lamar,"June 17, 1987",Musician
405,Lionel Messi,"June 24, 1987",Athlete
406,Blake Lively,"August 25, 1987",Actress
407,Wiz Khalifa,"September 8, 1987",Musician
408,Zac Efron,"October 18, 1987",Actor
409,Rihanna,"February 20, 1988",Musician
410,Stephen Curry,"March 14, 1988",Athlete
411,Grimes,"March 17, 1988",Musician
413,Ana de Armas,"April 30, 1988",Actress
414,Adele,"May 5, 1988",Musician
422,Zoë Kravitz,"December 1, 1988",Actress
423,Hayley Williams,"December 27, 1988",Musician
424,Elizabeth Olsen,"February 16, 1989",Actress
426,Dakota Johnson,"October 4, 1989",Actress
429,Taylor Swift,"December 13, 1989",Musician
432,Emma Watson,"April 15, 1990",Actress
434,Margot Robbie,"July 2, 1990",Actress
435,Jennifer Lawrence,"August 15, 1990",Actress
436,Jeremy Allen White,"February 17, 1991",Actor
437,Ed Sheeran,"February 17, 1991",Musician
438,"Tyler, the Creator","March 6, 1991",Musician
439,Travis Scott,"April 30, 1991",Musician
440,Emily Ratajkowski,"June 7, 1991",Model
441,Austin Butler,"August 17, 1991",Actor
442,Neymar,"February 5, 1992",Athlete
443,Taylor Lautner,"February 11, 1992",Actor
445,Selena Gomez,"July 22, 1992",Musician
447,Karlie Kloss,"August 3, 1992",Model
448,Cara Delevingne,"August 12, 1992",Model
449,Demi Lovato,"August 20, 1992",Musician
450,Rosalía,"September 25, 1992",Musician
451,Cardi B,"October 11, 1992",Musician
454,Miley Cyrus,"November 23, 1992",Musician
455,Chance the Rapper,"April 16, 1993",Musician
456,Ariana Grande,"June 26, 1993",Musician
457,Harry Styles,"February 1, 1994",Musician
458,Justin Bieber,"March 1, 1994",Musician
459,Bad Bunny,"March 10, 1994",Musician
460,Saoirse Ronan,"April 12, 1994",Actress
461,Shohei Ohtani,"July 5, 1994",Athlete
467,Dua Lipa,"August 22, 1995",Musician
468,Patrick Mahomes,"September 17, 1995",Athlete
470,Kendall Jenner,"November 3, 1995",Model
471,Timothée Chalamet,"December 27, 1995",Actor
482,Simone Biles,"March 14, 1997",Athlete
483,Maisie Williams,"April 15, 1997",Actress
485,Kylie Jenner,"August 10, 1997",Reality TV
486,Sydney Sweeney,"September 12, 1997",Actress
487,Naomi Osaka,"October 16, 1997",Athlete
488,Chappell Roan,"February 19, 1998",Musician
489,Jack Harlow,"March 13, 1998",Musician
490,Shawn Mendes,"August 8, 1998",Musician
491,Kylian Mbappé,"December 20, 1998",Athlete
492,Lil Nas X,"April 9, 1999",Musician
493,Sabrina Carpenter,"May 11, 1999",Musician
495,Billie Eilish,"December 18, 2001",Musician
496,Caitlin Clark,"January 22, 2002",Athlete
498,Olivia Rodrigo,"February 20, 2003",Musician
499,Millie Bobby Brown,"February 19, 2004",Actress
